id,日期,录播来源,录播片段编号,起始时间点,结束时间点,文件名,文件类型,歌名,版本号,版本备注,中文歌名,原曲艺术家,演唱者,演唱状态,语言,备注,参考路灯man,有没有音频,切片源,有没有第二版本
A000099,2021.02.16,BV1wb4y1R731,,0,57936, カタオモイ,mp3,カタオモイ,,,单相思,Maggie_麦吉,贝拉,完整, 日语,,,TRUE,,FALSE
A000100,2021.02.16,BV1NV411q7Yg,,0,311040, 水星记,mp3,水星记,,,,郭顶,珈乐,完整, 汉语,,,TRUE,,FALSE
A000101,2021.02.16,BV1wb4y1R731,,0,332808, 素敵だね 2.0,mp3,素敵だね,2.0,,绚烂无比,Rikki (中野律纪),贝拉,完整, 日语,,,TRUE,,FALSE
A000102,2021.02.16,BV1NV411q7Yg,,0,170400, 红昭愿,mp3,红昭愿,,,,音阙诗听,"珈乐,乃琳",完整, 汉语,,,TRUE,,FALSE
A000103,2021.02.17,BV1qv411a7QA,,0,208008, カタオモイ 2.0,mp3,カタオモイ,2.0,,单相思,Aimer (エメ),贝拉,完整, 日语,,,TRUE,,FALSE
A000104,2021.02.17,BV1XK4y1n7LM,,0,295896, 大鱼,mp3,大鱼,,,,周深,"珈乐,乃琳",完整, 汉语,,,TRUE,,FALSE
A000105,2021.02.20,BV17v411Y7SJ,,0,200136, 桃花笑,mp3,桃花笑,,,,原来是萝卜丫,珈乐,完整, 汉语,,,TRUE,,FALSE
A000106,2021.02.24,BV1Py4y1a7jT,,0,216408, 胡广生,mp3,胡广生,,,,任素汐,珈乐,完整, 汉语,,,TRUE,,FALSE
A000107,2021.02.26,BV1hr4y1A7sP,,0,68856, 卖汤圆,mp3,卖汤圆,,,,徐小凤,向晚,完整, 汉语,,,TRUE,,FALSE
A000108,2021.02.26,BV1hr4y1A7sP,,0,112656, 星星,mp3,星星,,,,,A-SOUL,完整, 汉语,,,TRUE,,FALSE
A000109,2021.02.26,BV1hr4y1A7sP,,0,205224, 胭脂妆,mp3,胭脂妆,,,,苗洛霏,乃琳,完整, 汉语,,,TRUE,,FALSE
A000110,2021.02.27,BV1Kp4y1H7XP,,0,203088, 夜宴风波,mp3,夜宴风波,,,,"音阙诗听,王梓钰","贝拉,乃琳",完整, 汉语,,,TRUE,,FALSE
A000111,2021.02.27,BV1Kp4y1H7XP,,0,313752, 宠爱 2.0,mp3,宠爱,2.0,,,,"嘉然,乃琳",完整, 汉语,,,TRUE,,FALSE
A000112,2021.02.27,BV1Kp4y1H7XP,,0,211128, 遇见你的时候所有星星都落到我头上,mp3,遇见你的时候所有星星都落到我头上,,,,高姗,嘉然,完整, 汉语,,,TRUE,,FALSE
A000113,2021.02.28,BV18p4y1H7CQ,,0,106080, Summertime,mp3,Summertime,,,,,"向晚,嘉然",完整, 日语,,,TRUE,,FALSE
A000114,2021.02.28,BV18p4y1H7CQ,,0,69456, The Show,mp3,The Show,,,,,"向晚,嘉然",完整, 英语,,,TRUE,,FALSE
A000115,2021.02.28,BV18p4y1H7CQ,,0,234936, 旅行的意义,mp3,旅行的意义,,,,徐佳莹,"向晚,嘉然",完整, 汉语,,,TRUE,,FALSE
A000116,2021.03.03,BV1YA411K7ov,,0,243384, 别找我麻烦,mp3,别找我麻烦,,,,蔡健雅,珈乐,完整, 汉语,,,TRUE,,FALSE
A000117,2021.03.04,BV1KX4y1V7jM,,0,137088, 鸽子,mp3,鸽子,,,,徐秉龙,乃琳,完整, 汉语,,,TRUE,,FALSE
A000118,2021.03.05,BV13y4y1a753,,0,255216, Butterfly,mp3,Butterfly,,,,和田光司 (わだ こうじ),贝拉,完整, 日语,,,TRUE,,FALSE
A000119,2021.03.05,BV13y4y1a753,,0,212568, 同桌的你,mp3,同桌的你,,,,老狼,A-SOUL,完整, 汉语,,,TRUE,,FALSE
A000120,2021.03.06,BV1xv411h7Wq,,0,242352, Brave Song,mp3,Brave Song,,,,,向晚,完整, 日语,,,TRUE,,FALSE
A000121,2021.03.06,BV1xv411h7Wq,,0,330552, 你啊你啊 2.0,mp3,你啊你啊,2.0,,,魏如萱,珈乐,完整, 汉语,,,TRUE,,FALSE
A000122,2021.03.06,BV1xv411h7Wq,,0,256416, 小城谣 2.0,mp3,小城谣,2.0,,,"泥鳅Niko,翘课迟到少恭桑",嘉然,完整, 汉语,,,TRUE,,FALSE
A000123,2021.03.06,BV1xv411h7Wq,,0,250512, 梦回环,mp3,梦回环,,,,呦猫UNEKO,贝拉,完整, 汉语,,,TRUE,,FALSE
A000124,2021.03.07,BV1Hh411Q7go,,0,180024, 好像掉进爱情海里,mp3,好像掉进爱情海里,,,,南偿,嘉然,完整, 汉语,,,TRUE,,FALSE
A000125,2021.03.10,BV1Kf4y1t7gu,,0,195096, 同桌的你,mp3,同桌的你,,,,老狼,珈乐,完整, 汉语,,,TRUE,,FALSE
A000126,2021.03.10,BV1Tb4y197Se,,0,94392, 小宇,mp3,小宇,,,,,向晚,完整, 汉语,,,TRUE,,FALSE
A000127,2021.03.10,BV1Kf4y1t7gu,,0,168672, 我要你 3.0,mp3,我要你,3.0,,,,珈乐,完整, 汉语,,,TRUE,,FALSE
A000128,2021.03.10,BV1Tb4y197Se,,0,80592, 水母之歌 3.0,mp3,水母之歌,3.0,,,,向晚,完整, 汉语,,,TRUE,,FALSE
A000129,2021.03.12,BV15N411Q76z,,0,200472, 忽然之间2.0,mp3,忽然之间,2.0,,,莫文蔚,"珈乐,乃琳",完整, 汉语,,,TRUE,,FALSE
A000130,2021.03.13,BV1Qv411h7YJ,,0,46464, 小白船,mp3,小白船,,,,,"向晚,乃琳",完整, 汉语,,,TRUE,,FALSE
A000131,2021.03.13,BV1Qv411h7YJ,,0,79224, 鸽子 2.0,mp3,鸽子,2.0,,,,"向晚,乃琳",完整, 汉语,,,TRUE,,FALSE
A000132,2021.03.14,BV15v411a7pe,,0,156912, 情非得已,mp3,情非得已,,,,,A-SOUL,完整, 汉语,,,TRUE,,FALSE
A000133,2021.03.14,BV15v411a7pe,,0,218400, 爱你 3.0,mp3,爱你,3.0,,,G.E.M. 邓紫棋,A-SOUL,完整, 汉语,,,TRUE,,FALSE
A000134,2021.03.17,BV12p4y1h7m2,,0,85344, Love Is Gone,mp3,Love Is Gone,,,,,向晚,完整, 英语,,,TRUE,,FALSE
A000135,2021.03.17,BV1Py4y1h7MW,,0,224352, 云烟成雨 3.0,mp3,云烟成雨,3.0,,,房东的猫,珈乐,完整, 汉语,,,TRUE,,FALSE
A000136,2021.03.17,BV12p4y1h7m2,,0,126072, 心跳的证明,mp3,心跳的证明,,,,,向晚,完整, 汉语,,,TRUE,,FALSE
A000137,2021.03.17,BV1zK4y1U7tf,,0,235608, 棠梨煎雪 5.0,mp3,棠梨煎雪,5.0,,,银临,乃琳,完整, 汉语,,,TRUE,,FALSE
A000138,2021.03.17,BV1Py4y1h7MW,,0,211008, 理想三旬,mp3,理想三旬,,,,陈鸿宇,珈乐,完整, 汉语,,,TRUE,,FALSE
A000139,2021.03.17,BV12p4y1h7m2,,0,40320, 生日祝福歌,mp3,生日祝福歌,,,,,向晚,完整, 汉语,,,TRUE,,FALSE
A000140,2021.03.17,BV1zK4y1U7tf,,0,253824, 迷迭香,mp3,迷迭香,,,,周杰伦,乃琳,完整, 汉语,,,TRUE,,FALSE
A000141,2021.03.19,BV1jV411e77J,,0,240312, わたしの恋はッチキス,mp3,わたしの恋はッチキス,,,我的订书机之恋,石井和美 (Kazumi Ishii),向晚,完整, 日语,,,TRUE,,FALSE
A000142,2021.03.19,BV1jV411e77J,,0,229536, 陪我长大 2.0,mp3,陪我长大,2.0,,,段奥娟,乃琳,完整, 汉语,,,TRUE,,FALSE
A000143,2021.03.20,BV1rZ4y1w7SD,,0,154032, 咖喱咖喱,mp3,咖喱咖喱,,,,牛奶咖啡,乃琳,完整, 汉语,,,TRUE,,FALSE
A000144,2021.03.24,BV1Ky4y1t7Po,,0,282456, 月半小夜曲,mp3,月半小夜曲,,,,李克勤,乃琳,完整, 汉语,,,TRUE,,FALSE
A000145,2021.03.25,BV11K4y1T7Uf,,0,258336, 十万毫升泪水 2.0,mp3,十万毫升泪水,2.0,,,蔡健雅,珈乐,完整, 汉语,,,TRUE,,FALSE
A000146,2021.03.25,BV11K4y1T7Uf,,0,159240, 我要你 4.0,mp3,我要你,4.0,,,任素汐,珈乐,完整, 汉语,,,TRUE,,FALSE
A000147,2021.03.25,BV11K4y1T7Uf,,0,272880, 春风十里 2.0,mp3,春风十里,2.0,,,宋佳,珈乐,完整, 汉语,,,TRUE,,FALSE
A000148,2021.03.25,BV11K4y1T7Uf,,0,171528, 桃花笑 2.0,mp3,桃花笑,2.0,,,,珈乐,完整, 汉语,,,TRUE,,FALSE
A000149,2021.03.25,BV11K4y1T7Uf,,0,240600, 爱之初体验 2.0,mp3,爱之初体验,2.0,,,张震岳,珈乐,完整, 汉语,,,TRUE,,FALSE
A000150,2021.03.27,BV1qK4y1T7gW,,0,179592, 世间美好与你环环相扣,mp3,世间美好与你环环相扣,,,,章伟杰,乃琳,完整, 汉语,,,TRUE,,FALSE
A000151,2021.03.26,BV1qK4y1T7gW,,0,269736, 春风十里 3.0,mp3,春风十里,3.0,,,宋佳,珈乐,完整, 汉语,,,TRUE,,FALSE
A000152,2021.03.27,BV1qK4y1T7gW,,0,172248, 好像掉进爱情海里 2.0,mp3,好像掉进爱情海里,2.0,,,南偿,A-SOUL,完整, 汉语,,,TRUE,,FALSE
A000153,2021.03.27,BV1qK4y1T7gW,,0,193296, 爱情派对 2.0,mp3,爱情派对,2.0,,,"zz,1amBlackNess",珈乐,完整, 汉语,,,TRUE,,FALSE
A000154,2021.04.01,BV1nU4y1Y7WX,,0,293088, secret base~君がくれたもの~ 2.0,mp3,secret base~君がくれたもの~,2.0,,,"茅野愛衣,戸松遥,早见沙织",向晚,完整, 日语,,,TRUE,,FALSE
A000155,2021.04.01,BV1nU4y1Y7WX,,0,213264, 万有引力 4.0,mp3,万有引力,4.0,,,梁心语,嘉然,完整, 汉语,,,TRUE,,FALSE
A000156,2021.04.01,BV1nU4y1Y7WX,,0,233616, 云烟成雨 4.0,mp3,云烟成雨,4.0,,,房东的猫,珈乐,完整, 汉语,,,TRUE,,FALSE
A000157,2021.04.01,BV1nU4y1Y7WX,,0,179424, 再见,mp3,再见,,,,张震岳,A-SOUL,完整, 汉语,,,TRUE,,FALSE
A000158,2021.04.01,BV1nU4y1Y7WX,,0,266016, 冬眠,mp3,冬眠,,,,司南,"珈乐,乃琳",完整, 汉语,,,TRUE,,FALSE
